,Stampede_128MB_np6,Stampede_256MB_np6,Stampede_512MB_np6,Stampede_1024MB_np6,Bridges_256MB_np6,Summit_1024MB_np6,Comet_1024MB_np6,Laptop_1024MB_np4
HPL_dMACH_EPS,1.11E-16,1.11E-16,1.11E-16,1.11E-16,1.11E-16,1.11E-16,1.11E-16,1.110223E-16
HPL_dMACH_SFMIN,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.225074e-308
HPL_dMACH_BASE,2.00E+00,2.00E+00,2.00E+00,2.00E+00,2.00E+00,2.00E+00,2.00E+00,2
HPL_dMACH_PREC,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.220446E-16
HPL_dMACH_MLEN,5.30E+01,5.30E+01,5.30E+01,5.30E+01,5.30E+01,5.30E+01,5.30E+01,53
HPL_dMACH_RND,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1
HPL_dMACH_EMIN,-1.02E+03,-1.02E+03,-1.02E+03,-1.02E+03,-1.02E+03,-1.02E+03,-1.02E+03,-1021
HPL_dMACH_RMIN,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.225074e-308
HPL_dMACH_EMAX,1.02E+03,1.02E+03,1.02E+03,1.02E+03,1.02E+03,1.02E+03,1.02E+03,1024
HPL_dMACH_RMAX,1.797693e+308,1.797693e+308,1.797693e+308,1.797693e+308,1.797693e+308,1.797693e+308,1.797693e+308,1.797693E+308
HPL_sMACH_EPS,5.96E-08,5.96E-08,5.96E-08,5.96E-08,5.96E-08,5.96E-08,5.96E-08,5.960464E-08
HPL_sMACH_SFMIN,1.18E-38,1.18E-38,1.18E-38,1.18E-38,1.18E-38,1.18E-38,1.18E-38,1.175494E-38
HPL_sMACH_BASE,2.00E+00,2.00E+00,2.00E+00,2.00E+00,2.00E+00,2.00E+00,2.00E+00,2
HPL_sMACH_PREC,1.19E-07,1.19E-07,1.19E-07,1.19E-07,1.19E-07,1.19E-07,1.19E-07,1.192093E-07
HPL_sMACH_MLEN,2.40E+01,2.40E+01,2.40E+01,2.40E+01,2.40E+01,2.40E+01,2.40E+01,24
HPL_sMACH_RND,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1
HPL_sMACH_EMIN,-1.25E+02,-1.25E+02,-1.25E+02,-1.25E+02,-1.25E+02,-1.25E+02,-1.25E+02,-125
HPL_sMACH_RMIN,1.18E-38,1.18E-38,1.18E-38,1.18E-38,1.18E-38,1.18E-38,1.18E-38,1.175494E-38
HPL_sMACH_EMAX,1.28E+02,1.28E+02,1.28E+02,1.28E+02,1.28E+02,1.28E+02,1.28E+02,128
HPL_sMACH_RMAX,3.40E+38,3.40E+38,3.40E+38,3.40E+38,3.40E+38,3.40E+38,3.40E+38,3.402823E+038
dweps,1.11E-16,1.11E-16,1.11E-16,1.11E-16,1.11E-16,1.11E-16,1.11E-16,1.110223E-16
sweps,5.96E-08,5.96E-08,5.96E-08,5.96E-08,5.96E-08,5.96E-08,5.96E-08,5.960464E-08
HPLMaxProcs,6,6,6,6,6,24,6,2
HPLMinProcs,6,6,6,6,6,24,6,2
DGEMM_N,2111,2978,4223,5958,2978,5976,5958,4179
StarDGEMM_Gflops,22.3041,22.8575,22.7348,23.0673,23.7226,28.3464,21.9428,25.6123
SingleDGEMM_Gflops,22.5411,22.9966,22.8175,23.1378,24.3345,34.2644,22.2481,27.0694
