,system,np,matrix,solver,prec,status,time,iters,resid,system_id,solver_id,prec_id,status_id,good_or_bad,new_time,matrix_id
149,bridges,28,cage8.mtx,BICGSTAB,NONE,error,0.0,,,1,1,4,-1,-1,inf,-6847664512012962880
150,bridges,28,cage8.mtx,MINRES,ILUT,unconverged,0.785837,10000.0,0.00147983,1,2,0,0,-1,inf,-6847664512012962880
151,bridges,28,cage8.mtx,MINRES,RILUK,unconverged,0.7470829999999999,10000.0,0.00147983,1,2,1,0,-1,inf,-6847664512012962880
152,bridges,28,cage8.mtx,MINRES,RELAXATION,unconverged,0.74649,10000.0,0.00147983,1,2,2,0,-1,inf,-6847664512012962880
153,bridges,28,cage8.mtx,MINRES,CHEBYSHEV,unconverged,1.59877,10000.0,0.00147983,1,2,3,0,-1,inf,-6847664512012962880
154,bridges,28,cage8.mtx,MINRES,NONE,unconverged,0.7655390000000001,10000.0,0.00147983,1,2,4,0,-1,inf,-6847664512012962880
155,bridges,28,cage8.mtx,PSEUDOBLOCK_CG,ILUT,converged,0.050450300000000003,13.0,9.09512e-07,1,3,0,1,-1,0.050450300000000003,-6847664512012962880
156,bridges,28,cage8.mtx,PSEUDOBLOCK_CG,RILUK,converged,0.00224495,13.0,9.09512e-07,1,3,1,1,1,0.00224495,-6847664512012962880
157,bridges,28,cage8.mtx,PSEUDOBLOCK_CG,RELAXATION,converged,0.00230885,14.0,3.43898e-07,1,3,2,1,1,0.00230885,-6847664512012962880
158,bridges,28,cage8.mtx,PSEUDOBLOCK_CG,CHEBYSHEV,unconverged,1.10226,10000.0,0.147144,1,3,3,0,-1,inf,-6847664512012962880
159,bridges,28,cage8.mtx,PSEUDOBLOCK_CG,NONE,converged,0.00430179,40.0,8.95613e-07,1,3,4,1,-1,0.00430179,-6847664512012962880
160,bridges,28,cage8.mtx,PSEUDOBLOCK_TFQMR,ILUT,converged,0.13836199999999999,7.0,1.11503e-07,1,5,0,1,-1,0.13836199999999999,-6847664512012962880
161,bridges,28,cage8.mtx,PSEUDOBLOCK_TFQMR,RILUK,converged,0.00363278,7.0,1.11503e-07,1,5,1,1,-1,0.00363278,-6847664512012962880
162,bridges,28,cage8.mtx,PSEUDOBLOCK_TFQMR,RELAXATION,converged,0.00346279,8.0,2.2933299999999998e-07,1,5,2,1,-1,0.00346279,-6847664512012962880
163,bridges,28,cage8.mtx,PSEUDOBLOCK_TFQMR,CHEBYSHEV,unconverged,3.56981,10000.0,44.2296,1,5,3,0,-1,inf,-6847664512012962880
164,bridges,28,cage8.mtx,PSEUDOBLOCK_TFQMR,NONE,error,0.0,,,1,5,4,-1,-1,inf,-6847664512012962880
165,bridges,28,cage8.mtx,LSQR,ILUT,converged,0.0120778,31.0,,1,7,0,1,-1,0.0120778,-6847664512012962880
166,bridges,28,cage8.mtx,LSQR,RILUK,converged,0.00643444,19.0,,1,7,1,1,-1,0.00643444,-6847664512012962880
167,bridges,28,cage8.mtx,LSQR,RELAXATION,converged,0.00623417,22.0,,1,7,2,1,-1,0.00623417,-6847664512012962880
168,bridges,28,cage8.mtx,LSQR,CHEBYSHEV,converged,0.0142171,35.0,,1,7,3,1,-1,0.0142171,-6847664512012962880
169,bridges,28,cage8.mtx,LSQR,NONE,converged,0.00593042,36.0,,1,7,4,1,-1,0.00593042,-6847664512012962880
170,bridges,28,cage8.mtx,PSEUDOBLOCK_GMRES,ILUT,converged,0.030511400000000004,10.0,2.9113000000000004e-07,1,8,0,1,-1,0.030511400000000004,-6847664512012962880
171,bridges,28,cage8.mtx,PSEUDOBLOCK_GMRES,RILUK,converged,0.00428295,10.0,2.9113000000000004e-07,1,8,1,1,-1,0.00428295,-6847664512012962880
172,bridges,28,cage8.mtx,PSEUDOBLOCK_GMRES,RELAXATION,converged,0.00421,11.0,8.20123e-07,1,8,2,1,-1,0.00421,-6847664512012962880
173,bridges,28,cage8.mtx,PSEUDOBLOCK_GMRES,CHEBYSHEV,converged,0.00519896,11.0,8.20123e-07,1,8,3,1,-1,0.00519896,-6847664512012962880
174,bridges,28,cage8.mtx,PSEUDOBLOCK_GMRES,NONE,converged,0.00566697,16.0,4.41794e-07,1,8,4,1,-1,0.00566697,-6847664512012962880
175,bridges,28,circuit204.mtx,FIXED_POINT,ILUT,error,0.0,,,1,0,0,-1,-1,inf,1149208828897789597
176,bridges,28,circuit204.mtx,FIXED_POINT,RILUK,error,0.0,,,1,0,1,-1,-1,inf,1149208828897789597
177,bridges,28,circuit204.mtx,FIXED_POINT,RELAXATION,error,0.0,,,1,0,2,-1,-1,inf,1149208828897789597
178,bridges,28,circuit204.mtx,FIXED_POINT,CHEBYSHEV,error,0.0,,,1,0,3,-1,-1,inf,1149208828897789597
179,bridges,28,circuit204.mtx,FIXED_POINT,NONE,error,0.0,,,1,0,4,-1,-1,inf,1149208828897789597
180,bridges,28,circuit204.mtx,BICGSTAB,ILUT,error,0.0,,,1,1,0,-1,-1,inf,1149208828897789597
181,bridges,28,circuit204.mtx,BICGSTAB,RILUK,error,0.0,,,1,1,1,-1,-1,inf,1149208828897789597
182,bridges,28,circuit204.mtx,BICGSTAB,RELAXATION,error,0.0,,,1,1,2,-1,-1,inf,1149208828897789597
