num_procs,matrix_name,solver,preconditioner,status,time,iterations,final_residual
12,circuit204.mtx,TFQMR,RILUK,error,0.00100708,,
12,circuit204.mtx,TFQMR,RELAXATION,error,0.000714779,,
12,circuit204.mtx,TFQMR,CHEBYSHEV,unconverged,2.10954,10000,140.898
12,circuit204.mtx,TFQMR,NONE,unconverged,1.55147,10000,134.988
12,circuit204.mtx,LSQR,ILUT,unconverged,1.7064,10000,
12,circuit204.mtx,LSQR,RILUK,unconverged,1.71027,10000,
12,circuit204.mtx,LSQR,RELAXATION,unconverged,1.34177,10000,
12,circuit204.mtx,LSQR,CHEBYSHEV,converged,0.00669098,19,
12,circuit204.mtx,LSQR,NONE,converged,1.41595,9101,
12,circuit204.mtx,PSEUDOBLOCK_GMRES,ILUT,error,0.00913191,,
12,circuit204.mtx,PSEUDOBLOCK_GMRES,RILUK,error,0.000967026,,
12,circuit204.mtx,PSEUDOBLOCK_GMRES,RELAXATION,error,0.000730991,,
12,circuit204.mtx,PSEUDOBLOCK_GMRES,CHEBYSHEV,unconverged,0.0977328,2,0
12,circuit204.mtx,PSEUDOBLOCK_GMRES,NONE,unconverged,2.12108,6300,0.762003
12,M20PI_n1.mtx,FIXED_POINT,ILUT,error,0.013726,,
12,M20PI_n1.mtx,FIXED_POINT,RILUK,error,0.000794888,,
12,M20PI_n1.mtx,FIXED_POINT,RELAXATION,error,0.000457048,,
12,M20PI_n1.mtx,FIXED_POINT,CHEBYSHEV,error,0.048924,,
12,M20PI_n1.mtx,FIXED_POINT,NONE,error,0.044215,,
12,M20PI_n1.mtx,BICGSTAB,ILUT,error,0.00487804,,
12,M20PI_n1.mtx,BICGSTAB,RILUK,error,0.00108218,,
12,M20PI_n1.mtx,BICGSTAB,RELAXATION,error,0.000809908,,
12,M20PI_n1.mtx,BICGSTAB,CHEBYSHEV,unconverged,3.33331,10000,2.06E+07
12,M20PI_n1.mtx,BICGSTAB,NONE,error,0.0209429,,
12,M20PI_n1.mtx,MINRES,ILUT,unconverged,0.806999,10000,0.922212
12,M20PI_n1.mtx,MINRES,RILUK,unconverged,0.804516,10000,0.922212
12,M20PI_n1.mtx,MINRES,RELAXATION,unconverged,0.803354,10000,0.922212
12,M20PI_n1.mtx,MINRES,CHEBYSHEV,unconverged,0.805002,10000,0.922212
12,M20PI_n1.mtx,MINRES,NONE,unconverged,0.809081,10000,0.922212
