2,circuit204.mtx, BICGSTAB, RELAXATION, error,0.000804186,,
2,circuit204.mtx, BICGSTAB, CHEBYSHEV, error,0.17503,,
2,circuit204.mtx, BICGSTAB, NONE, unconverged,3.13563,10000,888.338
2,circuit204.mtx, MINRES, ILUT, unconverged,0.821039,10000,0.0133724
2,circuit204.mtx, MINRES, RILUK, unconverged,0.807856,10000,0.0133724
2,circuit204.mtx, MINRES, RELAXATION, unconverged,0.817455,10000,0.0133724
2,circuit204.mtx, MINRES, CHEBYSHEV, unconverged,0.807073,10000,0.0133724
2,circuit204.mtx, MINRES, NONE, unconverged,0.80804,10000,0.0133724
2,circuit204.mtx, PSEUDOBLOCK CG, ILUT, error,0.00121713,,
2,circuit204.mtx, PSEUDOBLOCK CG, RILUK, error,0.00143313,,
2,circuit204.mtx, PSEUDOBLOCK CG, RELAXATION, error,0.00048399,,
2,circuit204.mtx, PSEUDOBLOCK CG, CHEBYSHEV, error,0.0014081,,
2,circuit204.mtx, PSEUDOBLOCK CG, NONE, error,0.000484943,,
2,circuit204.mtx, PSEUDOBLOCK STOCHASTIC CG, ILUT, error,0.00120902,,
2,circuit204.mtx, PSEUDOBLOCK STOCHASTIC CG, RILUK, error,0.00145602,,
2,circuit204.mtx, PSEUDOBLOCK STOCHASTIC CG, RELAXATION, error,0.000503778,,
2,circuit204.mtx, PSEUDOBLOCK STOCHASTIC CG, CHEBYSHEV, error,0.00142908,,
2,circuit204.mtx, PSEUDOBLOCK STOCHASTIC CG, NONE, error,0.000530005,,
2,circuit204.mtx, PSEUDOBLOCK TFQMR, ILUT, error,0.00165915,,
2,circuit204.mtx, PSEUDOBLOCK TFQMR, RILUK, error,0.00189495,,
2,circuit204.mtx, PSEUDOBLOCK TFQMR, RELAXATION, error,0.000885963,,
2,circuit204.mtx, PSEUDOBLOCK TFQMR, CHEBYSHEV, unconverged,3.70567,10000,140.647
2,circuit204.mtx, PSEUDOBLOCK TFQMR, NONE, error,0.944733,,
2,circuit204.mtx, TFQMR, ILUT, error,0.00148416,,
2,circuit204.mtx, TFQMR, RILUK, error,0.00177312,,
2,circuit204.mtx, TFQMR, RELAXATION, error,0.000726938,,
2,circuit204.mtx, TFQMR, CHEBYSHEV, unconverged,2.10694,10000,140.965
2,circuit204.mtx, TFQMR, NONE, error,0.443813,,
2,circuit204.mtx, LSQR, ILUT, unconverged,1.80848,10000, 
2,circuit204.mtx, LSQR, RILUK, unconverged,1.81939,10000, 
2,circuit204.mtx, LSQR, RELAXATION, unconverged,1.27718,10000, 
2,circuit204.mtx, LSQR, CHEBYSHEV, converged,0.00710011,21, 
2,circuit204.mtx, LSQR, NONE, converged,1.57584,9255, 
2,circuit204.mtx, PSEUDOBLOCK GMRES, ILUT, error,0.00160694,,
2,circuit204.mtx, PSEUDOBLOCK GMRES, RILUK, error,0.00162816,,
2,circuit204.mtx, PSEUDOBLOCK GMRES, RELAXATION, error,0.000682116,,
2,circuit204.mtx, PSEUDOBLOCK GMRES, CHEBYSHEV, unconverged,0.00277805,2,0
2,circuit204.mtx, PSEUDOBLOCK GMRES, NONE, unconverged,2.46233,6300,0.762003
2,M20PI_n1.mtx, FIXED POINT, ILUT, error,0.012408,,
2,M20PI_n1.mtx, FIXED POINT, RILUK, error,0.00137806,,
2,M20PI_n1.mtx, FIXED POINT, RELAXATION, error,0.000463009,,
2,M20PI_n1.mtx, FIXED POINT, CHEBYSHEV, error,0.00681591,,
2,M20PI_n1.mtx, FIXED POINT, NONE, error,0.0396731,,
2,M20PI_n1.mtx, BICGSTAB, ILUT, error,0.00212288,,
2,M20PI_n1.mtx, BICGSTAB, RILUK, error,0.001652,,
2,M20PI_n1.mtx, BICGSTAB, RELAXATION, error,0.000774145,,
2,M20PI_n1.mtx, BICGSTAB, CHEBYSHEV, unconverged,3.17528,10000,1.25E+06
2,M20PI_n1.mtx, BICGSTAB, NONE, error,0.011868,,
2,M20PI_n1.mtx, MINRES, ILUT, unconverged,0.736533,10000,0.922212
2,M20PI_n1.mtx, MINRES, RILUK, unconverged,0.737442,10000,0.922212
2,M20PI_n1.mtx, MINRES, RELAXATION, unconverged,0.737424,10000,0.922212
2,M20PI_n1.mtx, MINRES, CHEBYSHEV, unconverged,0.738601,10000,0.922212
2,M20PI_n1.mtx, MINRES, NONE, unconverged,0.748583,10000,0.922212
2,M20PI_n1.mtx, PSEUDOBLOCK CG, ILUT, error,0.00166607,,
2,M20PI_n1.mtx, PSEUDOBLOCK CG, RILUK, error,0.00124907,,
2,M20PI_n1.mtx, PSEUDOBLOCK CG, RELAXATION, error,0.000468016,,
2,M20PI_n1.mtx, PSEUDOBLOCK CG, CHEBYSHEV, error,0.00190592,,
