,np,matrix,matrix_id,solver_id,prec_id,status_id,new_time,good_or_bad
26416,2,rail_20209.mtx,-5608722108567338545,0,1,0,inf,-1
26417,2,rail_20209.mtx,-5608722108567338545,0,2,0,inf,-1
26418,2,rail_20209.mtx,-5608722108567338545,0,3,-1,inf,-1
26419,2,rail_20209.mtx,-5608722108567338545,0,4,0,inf,-1
26420,2,rail_20209.mtx,-5608722108567338545,1,0,1,0.764767,-1
26421,2,rail_20209.mtx,-5608722108567338545,1,1,1,0.721537,-1
26422,2,rail_20209.mtx,-5608722108567338545,1,2,1,0.565512,-1
26423,2,rail_20209.mtx,-5608722108567338545,1,3,1,0.550787,-1
26424,2,rail_20209.mtx,-5608722108567338545,1,4,1,0.692282,-1
26425,2,rail_20209.mtx,-5608722108567338545,2,0,1,0.38945799999999997,1
26426,2,rail_20209.mtx,-5608722108567338545,2,1,1,0.395366,1
26427,2,rail_20209.mtx,-5608722108567338545,2,2,1,0.37764699999999995,1
26428,2,rail_20209.mtx,-5608722108567338545,2,3,1,0.38061,1
26429,2,rail_20209.mtx,-5608722108567338545,2,4,1,0.37755500000000003,1
26430,2,rail_20209.mtx,-5608722108567338545,3,0,-1,inf,-1
26431,2,rail_20209.mtx,-5608722108567338545,3,1,-1,inf,-1
26432,2,rail_20209.mtx,-5608722108567338545,3,2,-1,inf,-1
26433,2,rail_20209.mtx,-5608722108567338545,3,3,-1,inf,-1
26434,2,rail_20209.mtx,-5608722108567338545,3,4,-1,inf,-1
26435,2,rail_20209.mtx,-5608722108567338545,4,0,-1,inf,-1
26436,2,rail_20209.mtx,-5608722108567338545,4,1,-1,inf,-1
26437,2,rail_20209.mtx,-5608722108567338545,4,2,-1,inf,-1
26438,2,rail_20209.mtx,-5608722108567338545,4,3,-1,inf,-1
26439,2,rail_20209.mtx,-5608722108567338545,4,4,-1,inf,-1
26440,2,rail_20209.mtx,-5608722108567338545,5,0,-1,inf,-1
26441,2,rail_20209.mtx,-5608722108567338545,5,1,0,inf,-1
26442,2,rail_20209.mtx,-5608722108567338545,5,2,0,inf,-1
26443,2,rail_20209.mtx,-5608722108567338545,5,3,0,inf,-1
26444,2,rail_20209.mtx,-5608722108567338545,5,4,0,inf,-1
26445,2,rail_20209.mtx,-5608722108567338545,6,0,-1,inf,-1
26446,2,rail_20209.mtx,-5608722108567338545,6,1,0,inf,-1
26447,2,rail_20209.mtx,-5608722108567338545,6,2,0,inf,-1
26448,2,rail_20209.mtx,-5608722108567338545,6,3,0,inf,-1
26449,2,rail_20209.mtx,-5608722108567338545,6,4,0,inf,-1
26450,2,rail_20209.mtx,-5608722108567338545,7,0,0,inf,-1
26451,2,rail_20209.mtx,-5608722108567338545,7,1,0,inf,-1
26452,2,rail_20209.mtx,-5608722108567338545,7,2,0,inf,-1
26453,2,rail_20209.mtx,-5608722108567338545,7,3,0,inf,-1
26454,2,rail_20209.mtx,-5608722108567338545,7,4,0,inf,-1
26455,2,rail_20209.mtx,-5608722108567338545,8,0,1,7.53666,-1
26456,2,rail_20209.mtx,-5608722108567338545,8,1,1,7.5399899999999995,-1
26457,2,rail_20209.mtx,-5608722108567338545,8,2,1,15.0745,-1
26458,2,rail_20209.mtx,-5608722108567338545,8,3,1,15.2024,-1
26459,2,rail_20209.mtx,-5608722108567338545,8,4,1,15.2006,-1
26460,2,t3dl_a.mtx,-8626613077991646428,0,0,-1,inf,-1
26461,2,t3dl_a.mtx,-8626613077991646428,0,1,-1,inf,-1
26462,2,t3dl_a.mtx,-8626613077991646428,0,2,-1,inf,-1
26463,2,t3dl_a.mtx,-8626613077991646428,0,3,-1,inf,-1
26464,2,t3dl_a.mtx,-8626613077991646428,0,4,-1,inf,-1
26465,2,t3dl_a.mtx,-8626613077991646428,1,0,-1,inf,-1
26466,2,t3dl_a.mtx,-8626613077991646428,1,1,-1,inf,-1
26467,2,t3dl_a.mtx,-8626613077991646428,1,2,-1,inf,-1
26468,2,t3dl_a.mtx,-8626613077991646428,1,3,0,inf,-1
26469,2,t3dl_a.mtx,-8626613077991646428,1,4,-1,inf,-1
26470,2,t3dl_a.mtx,-8626613077991646428,2,0,0,inf,-1
26471,2,t3dl_a.mtx,-8626613077991646428,2,1,0,inf,-1
26472,2,t3dl_a.mtx,-8626613077991646428,2,2,0,inf,-1
26473,2,t3dl_a.mtx,-8626613077991646428,2,3,0,inf,-1
