,classifier,sampler,np_a,np_b,fold,AUC,time
195,GradientBoosting,SMOTETomek,12,12,avg,0.7659999999999999,
196,GradientBoosting,RandomOverSampler,12,12,0,0.7709999999999999,17.992
197,GradientBoosting,RandomOverSampler,12,12,1,0.7240000000000001,20.624000000000002
198,GradientBoosting,RandomOverSampler,12,12,2,0.7609999999999999,21.064
199,GradientBoosting,RandomOverSampler,12,12,avg,0.752,
200,RandomForest,DummySampler,12,12,0,0.617,0.552
201,RandomForest,DummySampler,12,12,1,0.5720000000000001,0.71
202,RandomForest,DummySampler,12,12,2,0.674,0.33899999999999997
203,RandomForest,DummySampler,12,12,avg,0.621,
204,RandomForest,SMOTE,12,12,0,0.532,2.151
205,RandomForest,SMOTE,12,12,1,0.604,1.806
206,RandomForest,SMOTE,12,12,2,0.652,2.506
207,RandomForest,SMOTE,12,12,avg,0.596,
208,RandomForest,SMOTEENN,12,12,0,0.512,4.823
209,RandomForest,SMOTEENN,12,12,1,0.603,2.847
210,RandomForest,SMOTEENN,12,12,2,0.6459999999999999,3.4330000000000003
211,RandomForest,SMOTEENN,12,12,avg,0.5870000000000001,
212,RandomForest,SMOTETomek,12,12,0,0.501,7.58
213,RandomForest,SMOTETomek,12,12,1,0.633,4.374
214,RandomForest,SMOTETomek,12,12,2,0.672,5.769
215,RandomForest,SMOTETomek,12,12,avg,0.602,
216,RandomForest,RandomOverSampler,12,12,0,0.599,1.453
217,RandomForest,RandomOverSampler,12,12,1,0.581,0.713
218,RandomForest,RandomOverSampler,12,12,2,0.6990000000000001,0.6729999999999999
219,RandomForest,RandomOverSampler,12,12,avg,0.626,
220,AdaBoost,DummySampler,12,12,0,0.733,2.905
221,AdaBoost,DummySampler,12,12,1,0.7190000000000001,4.212
222,AdaBoost,DummySampler,12,12,2,0.65,2.59
223,AdaBoost,DummySampler,12,12,avg,0.701,
224,AdaBoost,SMOTE,12,12,0,0.736,8.881
225,AdaBoost,SMOTE,12,12,1,0.732,10.044
226,AdaBoost,SMOTE,12,12,2,0.66,7.193
227,AdaBoost,SMOTE,12,12,avg,0.7090000000000001,
228,AdaBoost,SMOTEENN,12,12,0,0.753,9.219
229,AdaBoost,SMOTEENN,12,12,1,0.752,8.238999999999999
230,AdaBoost,SMOTEENN,12,12,2,0.711,8.158
231,AdaBoost,SMOTEENN,12,12,avg,0.738,
232,AdaBoost,SMOTETomek,12,12,0,0.708,11.662
233,AdaBoost,SMOTETomek,12,12,1,0.755,9.758
234,AdaBoost,SMOTETomek,12,12,2,0.7090000000000001,11.725
235,AdaBoost,SMOTETomek,12,12,avg,0.7240000000000001,
236,AdaBoost,RandomOverSampler,12,12,0,0.716,4.751
237,AdaBoost,RandomOverSampler,12,12,1,0.731,4.763
238,AdaBoost,RandomOverSampler,12,12,2,0.664,4.676
239,AdaBoost,RandomOverSampler,12,12,avg,0.7040000000000001,
0,GradientBoosting,DummySampler,1,1,0,0.804,3.82
1,GradientBoosting,DummySampler,1,1,1,0.6990000000000001,3.912
2,GradientBoosting,DummySampler,1,1,2,0.777,3.7939999999999996
3,GradientBoosting,DummySampler,1,1,avg,0.76,
4,GradientBoosting,SMOTE,1,1,0,0.815,12.673
5,GradientBoosting,SMOTE,1,1,1,0.818,13.068
6,GradientBoosting,SMOTE,1,1,2,0.812,11.720999999999998
7,GradientBoosting,SMOTE,1,1,avg,0.815,
8,GradientBoosting,SMOTEENN,1,1,0,0.8170000000000001,13.686
9,GradientBoosting,SMOTEENN,1,1,1,0.821,13.038
10,GradientBoosting,SMOTEENN,1,1,2,0.8170000000000001,13.409
11,GradientBoosting,SMOTEENN,1,1,avg,0.818,
12,GradientBoosting,SMOTETomek,1,1,0,0.809,16.119
13,GradientBoosting,SMOTETomek,1,1,1,0.82,17.090999999999998
14,GradientBoosting,SMOTETomek,1,1,2,0.805,15.220999999999998
15,GradientBoosting,SMOTETomek,1,1,avg,0.8109999999999999,
16,GradientBoosting,RandomOverSampler,1,1,0,0.835,17.503
17,GradientBoosting,RandomOverSampler,1,1,1,0.82,11.175999999999998
18,GradientBoosting,RandomOverSampler,1,1,2,0.836,16.274
19,GradientBoosting,RandomOverSampler,1,1,avg,0.83,
20,RandomForest,DummySampler,1,1,0,0.608,0.196
21,RandomForest,DummySampler,1,1,1,0.562,0.264
22,RandomForest,DummySampler,1,1,2,0.713,0.237
23,RandomForest,DummySampler,1,1,avg,0.628,
24,RandomForest,SMOTE,1,1,0,0.542,1.162
25,RandomForest,SMOTE,1,1,1,0.647,1.095
26,RandomForest,SMOTE,1,1,2,0.687,0.986
27,RandomForest,SMOTE,1,1,avg,0.625,
28,RandomForest,SMOTEENN,1,1,0,0.517,1.964
29,RandomForest,SMOTEENN,1,1,1,0.6829999999999999,1.6440000000000001
30,RandomForest,SMOTEENN,1,1,2,0.738,1.6780000000000002
31,RandomForest,SMOTEENN,1,1,avg,0.6459999999999999,
32,RandomForest,SMOTETomek,1,1,0,0.524,3.516
33,RandomForest,SMOTETomek,1,1,1,0.672,2.6260000000000003
34,RandomForest,SMOTETomek,1,1,2,0.669,3.485
35,RandomForest,SMOTETomek,1,1,avg,0.622,
36,RandomForest,RandomOverSampler,1,1,0,0.6559999999999999,0.491
37,RandomForest,RandomOverSampler,1,1,1,0.6409999999999999,0.498
38,RandomForest,RandomOverSampler,1,1,2,0.682,0.408
39,RandomForest,RandomOverSampler,1,1,avg,0.66,
40,AdaBoost,DummySampler,1,1,0,0.755,1.785
41,AdaBoost,DummySampler,1,1,1,0.746,1.7
42,AdaBoost,DummySampler,1,1,2,0.809,1.599
43,AdaBoost,DummySampler,1,1,avg,0.77,
44,AdaBoost,SMOTE,1,1,0,0.83,5.485
45,AdaBoost,SMOTE,1,1,1,0.767,5.71
46,AdaBoost,SMOTE,1,1,2,0.7390000000000001,5.233
47,AdaBoost,SMOTE,1,1,avg,0.779,
48,AdaBoost,SMOTEENN,1,1,0,0.805,6.272
49,AdaBoost,SMOTEENN,1,1,1,0.758,6.733
50,AdaBoost,SMOTEENN,1,1,2,0.727,5.835
51,AdaBoost,SMOTEENN,1,1,avg,0.764,
52,AdaBoost,SMOTETomek,1,1,0,0.8,7.539
53,AdaBoost,SMOTETomek,1,1,1,0.765,6.8870000000000005
54,AdaBoost,SMOTETomek,1,1,2,0.718,7.62
55,AdaBoost,SMOTETomek,1,1,avg,0.7609999999999999,
56,AdaBoost,RandomOverSampler,1,1,0,0.755,3.208
57,AdaBoost,RandomOverSampler,1,1,1,0.7340000000000001,3.284
58,AdaBoost,RandomOverSampler,1,1,2,0.8109999999999999,3.7039999999999997
59,AdaBoost,RandomOverSampler,1,1,avg,0.767,
60,GradientBoosting,DummySampler,1,[2 4 6 8 10 12],0,0.86,4.091
61,GradientBoosting,DummySampler,1,[2 4 6 8 10 12],1,0.8420000000000001,3.984
62,GradientBoosting,DummySampler,1,[2 4 6 8 10 12],2,0.848,5.212999999999999
63,GradientBoosting,DummySampler,1,[2 4 6 8 10 12],avg,0.85,
64,GradientBoosting,SMOTE,1,[2 4 6 8 10 12],0,0.862,14.642000000000001
65,GradientBoosting,SMOTE,1,[2 4 6 8 10 12],1,0.868,14.137
66,GradientBoosting,SMOTE,1,[2 4 6 8 10 12],2,0.87,15.679
67,GradientBoosting,SMOTE,1,[2 4 6 8 10 12],avg,0.866,
68,GradientBoosting,SMOTEENN,1,[2 4 6 8 10 12],0,0.8640000000000001,13.533
69,GradientBoosting,SMOTEENN,1,[2 4 6 8 10 12],1,0.87,17.538
70,GradientBoosting,SMOTEENN,1,[2 4 6 8 10 12],2,0.8690000000000001,21.765
71,GradientBoosting,SMOTEENN,1,[2 4 6 8 10 12],avg,0.868,
72,GradientBoosting,SMOTETomek,1,[2 4 6 8 10 12],0,0.857,16.156
73,GradientBoosting,SMOTETomek,1,[2 4 6 8 10 12],1,0.867,17.214000000000002
74,GradientBoosting,SMOTETomek,1,[2 4 6 8 10 12],2,0.872,17.37
75,GradientBoosting,SMOTETomek,1,[2 4 6 8 10 12],avg,0.865,
76,GradientBoosting,RandomOverSampler,1,[2 4 6 8 10 12],0,0.8759999999999999,10.897
77,GradientBoosting,RandomOverSampler,1,[2 4 6 8 10 12],1,0.8859999999999999,11.530999999999999
78,GradientBoosting,RandomOverSampler,1,[2 4 6 8 10 12],2,0.894,12.417
79,GradientBoosting,RandomOverSampler,1,[2 4 6 8 10 12],avg,0.885,
80,RandomForest,DummySampler,1,[2 4 6 8 10 12],0,0.816,0.345
81,RandomForest,DummySampler,1,[2 4 6 8 10 12],1,0.784,0.395
82,RandomForest,DummySampler,1,[2 4 6 8 10 12],2,0.836,0.322
83,RandomForest,DummySampler,1,[2 4 6 8 10 12],avg,0.812,
84,RandomForest,SMOTE,1,[2 4 6 8 10 12],0,0.7759999999999999,1.442
85,RandomForest,SMOTE,1,[2 4 6 8 10 12],1,0.8340000000000001,1.265
86,RandomForest,SMOTE,1,[2 4 6 8 10 12],2,0.83,1.1420000000000001
87,RandomForest,SMOTE,1,[2 4 6 8 10 12],avg,0.813,
88,RandomForest,SMOTEENN,1,[2 4 6 8 10 12],0,0.835,1.986
89,RandomForest,SMOTEENN,1,[2 4 6 8 10 12],1,0.861,1.766
90,RandomForest,SMOTEENN,1,[2 4 6 8 10 12],2,0.865,1.8330000000000002
91,RandomForest,SMOTEENN,1,[2 4 6 8 10 12],avg,0.8540000000000001,
92,RandomForest,SMOTETomek,1,[2 4 6 8 10 12],0,0.787,3.888
93,RandomForest,SMOTETomek,1,[2 4 6 8 10 12],1,0.8190000000000001,2.72
